matrix dimension: 16, time: 38.484, cross-over: 16, padding: 0, num_trials: 1000
matrix dimension: 50, time: 1184.12, cross-over: 50, padding: 0, num_trials: 250
matrix dimension: 51, time: 1293.9, cross-over: 51, padding: 0, num_trials: 250
matrix dimension: 52, time: 1242.06, cross-over: 52, padding: 0, num_trials: 250
matrix dimension: 53, time: 1392.63, cross-over: 53, padding: 0, num_trials: 250
matrix dimension: 54, time: 1393.68, cross-over: 54, padding: 0, num_trials: 250
matrix dimension: 55, time: 1615.48, cross-over: 28, padding: 1, num_trials: 250
matrix dimension: 56, time: 1617.52, cross-over: 28, padding: 0, num_trials: 250
matrix dimension: 57, time: 1681.4, cross-over: 57, padding: 0, num_trials: 100
matrix dimension: 58, time: 1744.36, cross-over: 29, padding: 0, num_trials: 100
matrix dimension: 59, time: 1849.38, cross-over: 59, padding: 0, num_trials: 100
matrix dimension: 60, time: 1971.23, cross-over: 60, padding: 0, num_trials: 100
matrix dimension: 61, time: 2106.99, cross-over: 31, padding: 1, num_trials: 100
matrix dimension: 62, time: 2293.12, cross-over: 62, padding: 0, num_trials: 100
matrix dimension: 63, time: 2407.36, cross-over: 63, padding: 0, num_trials: 100
matrix dimension: 64, time: 2547.66, cross-over: 32, padding: 0, num_trials: 100
matrix dimension: 65, time: 2731.12, cross-over: 33, padding: 1, num_trials: 50
matrix dimension: 66, time: 2550.04, cross-over: 33, padding: 0, num_trials: 50
matrix dimension: 67, time: 2929.18, cross-over: 34, padding: 1, num_trials: 50
matrix dimension: 68, time: 2734.1, cross-over: 34, padding: 0, num_trials: 50
matrix dimension: 69, time: 3206.4, cross-over: 35, padding: 1, num_trials: 50
matrix dimension: 70, time: 3029.22, cross-over: 35, padding: 0, num_trials: 50
matrix dimension: 71, time: 3310.82, cross-over: 36, padding: 1, num_trials: 50
matrix dimension: 72, time: 3250.32, cross-over: 36, padding: 0, num_trials: 50
matrix dimension: 73, time: 3496.44, cross-over: 37, padding: 1, num_trials: 50
matrix dimension: 74, time: 3557.16, cross-over: 37, padding: 0, num_trials: 50
matrix dimension: 75, time: 3936.54, cross-over: 38, padding: 1, num_trials: 50
matrix dimension: 76, time: 3979.2, cross-over: 38, padding: 0, num_trials: 30
matrix dimension: 77, time: 4474.8, cross-over: 40, padding: 3, num_trials: 30
matrix dimension: 78, time: 4104.7, cross-over: 39, padding: 0, num_trials: 30
matrix dimension: 79, time: 4454.07, cross-over: 40, padding: 1, num_trials: 30
matrix dimension: 80, time: 4499.97, cross-over: 40, padding: 0, num_trials: 30
matrix dimension: 81, time: 4857.73, cross-over: 41, padding: 1, num_trials: 30
matrix dimension: 82, time: 5326.63, cross-over: 41, padding: 0, num_trials: 30
matrix dimension: 83, time: 5183.84, cross-over: 42, padding: 1, num_trials: 25
matrix dimension: 84, time: 5233.16, cross-over: 42, padding: 0, num_trials: 25
matrix dimension: 85, time: 5646.88, cross-over: 43, padding: 1, num_trials: 25
matrix dimension: 2048, time: 47490.3, cross-over: 64, padding: 0, num_trials: 1
matrix dimension: 4096, time: 331742, cross-over: 64, padding: 0, num_trials: 1
matrix dimension: 4096, time: 334.42, cross-over: 64, padding: 0, num_trials: 1

